"testId","testType","username","email","password","fullName","oldPassword","newPassword","confirmPassword","ExpectedResult","expectedStatus","expectedMessage"
"C-001","CHANGE_PWD","","","","","Oldpass@1","Password@1","Password@1","Đổi mật khẩu hợp lệ bằng mật khẩu mạnh thành công","200","thanh cong"
"C-002","CHANGE_PWD","","","","","","Password@1","Password@1","Mật khẩu cũ rỗng phải bị từ chối","400","old"
"C-003","CHANGE_PWD","","","","","Oldpass@1","","","Mật khẩu mới rỗng phải bị từ chối","400","new"
"C-004","CHANGE_PWD","","","","","Oldpass@1","Password@1","","Xác nhận mật khẩu rỗng phải bị từ chối","400","confirm"
"C-005","CHANGE_PWD","","","","","wrongpass","Password@1","Password@1","Mật khẩu cũ sai phải bị từ chối","400","old"
"C-006","CHANGE_PWD","","","","","Oldpass@1","Pass@1","Pass@1","Mật khẩu mới ngắn hơn 8 ký tự phải bị từ chối","400","password"
"C-007","CHANGE_PWD","","","","","Oldpass@1","Pass@123","Pass@123","Mật khẩu mới dài 8 ký tự và đủ nhóm ký tự bắt buộc phải được chấp nhận","200","thanh cong"
"C-008","CHANGE_PWD","","","","","Oldpass@1","Password@12345678901234567890123456789012345678901234567890123456789012345","Password@12345678901234567890123456789012345678901234567890123456789012345","Mật khẩu mới dài hơn 64 ký tự phải bị từ chối","400","password"
"C-009","CHANGE_PWD","","","","","Oldpass@1","Password@1","Password@2","Xác nhận mật khẩu không khớp phải bị từ chối","400","match"
"C-010","CHANGE_PWD","","","","","Oldpass@1","Oldpass@1","Oldpass@1","Mật khẩu mới trùng mật khẩu cũ phải bị từ chối","400","same"
"C-011","CHANGE_PWD","","","",""," Oldpass@1 ","Password@1","Password@1","Mật khẩu cũ có khoảng trắng đầu/cuối phải bị từ chối","400","old"
"C-012","CHANGE_PWD","","","","","Oldpass@1"," Password@1 "," Password@1 ","Mật khẩu mới có khoảng trắng đầu/cuối phải bị từ chối","400","validation"
"C-013","CHANGE_PWD","","","","","Oldpass@1","password@1","password@1","Mật khẩu mới thiếu chữ hoa phải bị từ chối","400","password"
"C-014","CHANGE_PWD","","","","","Oldpass@1","PASSWORD@1","PASSWORD@1","Mật khẩu mới thiếu chữ thường phải bị từ chối","400","password"
"C-015","CHANGE_PWD","","","","","Oldpass@1","Password@","Password@","Mật khẩu mới thiếu chữ số phải bị từ chối","400","password"
"C-016","CHANGE_PWD","","","","","Oldpass@1","Password1","Password1","Mật khẩu mới thiếu ký tự đặc biệt phải bị từ chối","400","password"
