"testId","testType","username","email","password","fullName","oldPassword","newPassword","confirmPassword","ExpectedResult","expectedStatus","expectedMessage"
"G-001","GOOGLE_LOGIN","Google New User","g001_new_google@gmail.com","","","","","","Hồ sơ Google hợp lệ tự tạo người dùng hoặc đăng nhập thành công","200","token"
"G-002","GOOGLE_LOGIN","Google Existing User","g002_exist_google@gmail.com","","","","","","Hồ sơ Google hợp lệ với email đã tồn tại phải đăng nhập thành công","200","token"
"G-003","GOOGLE_LOGIN","Google Missing Email","","","","","","","Có tên Google nhưng email rỗng phải bị từ chối","400","email"
"G-004","GOOGLE_LOGIN","","g004_empty_name@gmail.com","","","","","","Có email Google nhưng tên rỗng phải bị từ chối","400","name"
"G-005","GOOGLE_LOGIN","","","","","","","","Tên và email Google đều rỗng phải bị từ chối","400","validation"
"G-006","GOOGLE_LOGIN","Google Invalid Email","notanemail","","","","","","Email Google không hợp lệ phải bị từ chối","400","email"
"G-007","GOOGLE_LOGIN","Google Long Email","verylongemailaddress12345678901234567890@verylongemailaddressdomain.com","","","","","","Email Google hợp lệ dạng dài phải được chấp nhận","200","token"
"G-008","GOOGLE_LOGIN","A","g008_short_email@gmail.com","","","","","","Tên Google dài 1 ký tự được chấp nhận nếu BE không có quy tắc độ dài tối thiểu cho tên","200","token"
"G-009","GOOGLE_LOGIN","This is a very long name with many characters that might exceed normal expectations in a real scenario","g009_long_name@gmail.com","","","","","","Tên Google quá dài phải bị từ chối nếu BE có quy tắc độ dài tối đa cho tên","400","validation"
"G-010","GOOGLE_LOGIN","Google Plus Email","g010_plus_notation+tag@gmail.com","","","","","","Email Google có ký hiệu dấu cộng phải được chấp nhận","200","token"
"G-011","GOOGLE_LOGIN","Google Whitespace Email","g011_whitespace@gmail.com ","","","","","","Email Google có khoảng trắng đầu/cuối phải bị từ chối","400","email"
"G-012","GOOGLE_LOGIN","User @#$%^&","g012_special_chars_name@gmail.com","","","","","","Tên Google có ký tự đặc biệt được chấp nhận nếu BE cho phép tên hiển thị","200","token"
"G-013","GOOGLE_LOGIN","Google Url Picture","g013_url_test@gmail.com","","","","","","Đăng nhập Google thành công khi thiếu ảnh đại diện","200","token"
"G-014","GOOGLE_LOGIN","Google Optional Field","g014_optional_field@gmail.com","","","","","","Đăng nhập Google thành công khi chỉ có các trường bắt buộc","200","token"
"G-015","GOOGLE_LOGIN","Google Disabled User","g015_disabled_user@gmail.com","","","","","","Kiểm tra tài khoản bị vô hiệu hóa; chỉ thất bại nếu BE có xử lý trạng thái vô hiệu hóa","200","token"
"G-016","GOOGLE_LOGIN","Google Trim Name ","g016_trim_name@gmail.com","","","","","","Tên Google có khoảng trắng đầu/cuối được chấp nhận hoặc được chuẩn hóa","200","token"
"G-017","GOOGLE_LOGIN","Google Internal Space Name","g017_space_name@gmail.com","","","","","","Tên hiển thị Google có khoảng trắng ở giữa được chấp nhận hoặc được chuẩn hóa","200","token"
"G-018","GOOGLE_LOGIN","Google Existing User Updated","g002_exist_google@gmail.com","","","","","","Đăng nhập Google lặp lại với cùng email không được tạo người dùng trùng","200","token"
