"testId","testType","username","email","password","fullName","oldPassword","newPassword","confirmPassword","ExpectedResult","expectedStatus","expectedMessage"
"L-001","LOGIN","hai123",,"hai123",,,,,"Đăng nhập bằng tài khoản seed hợp lệ thành công. Tài khoản seed bắt buộc: hai123/hai123","200","token"
"L-002","LOGIN",,,,,,,,"Tên đăng nhập và mật khẩu đều rỗng phải bị từ chối","400","validation"
"L-003","LOGIN","hai123",,,,,,,"Có tên đăng nhập nhưng mật khẩu rỗng phải bị từ chối","400","password"
"L-004","LOGIN",,,"hai123",,,,,"Có mật khẩu nhưng tên đăng nhập rỗng phải bị từ chối","400","username"
"L-005","LOGIN","a",,"123456",,,,,"Tên đăng nhập ngắn hơn giới hạn hợp lệ không được đăng nhập","400","Invalid username or password"
"L-006","LOGIN","ab",,"123456",,,,,"Tên đăng nhập dài 2 ký tự không được đăng nhập khi người dùng không tồn tại","400","Invalid username or password"
"L-007","LOGIN","abc",,"123456",,,,,"Tên đăng nhập dài 3 ký tự nhưng không tồn tại thì đăng nhập thất bại","400","Invalid username or password"
"L-008","LOGIN","abcdefghijklmnopqrstuvwxyz01234567890123456789012",,"hai123",,,,,"Tên đăng nhập dài hơn 50 ký tự không được đăng nhập","400","Invalid username or password"
"L-009","LOGIN","abcdefghijklmnopqrstuvwxyz0123456789012345678901",,"hai123",,,,,"Tên đăng nhập dài nhưng không tồn tại thì đăng nhập thất bại","400","Invalid username or password"
"L-010","LOGIN","hai123",,"12345",,,,,"Tên đăng nhập tồn tại nhưng mật khẩu ngắn hơn dữ liệu seed hợp lệ thì đăng nhập thất bại","400","Invalid username or password"
"L-011","LOGIN","hai123",,"123456",,,,,"Tên đăng nhập tồn tại nhưng mật khẩu sai thì đăng nhập thất bại","400","Invalid username or password"
"L-012","LOGIN","hai123",,"12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901",,,,,"Tên đăng nhập tồn tại nhưng mật khẩu sai và quá dài thì đăng nhập thất bại","400","Invalid username or password"
"L-013","LOGIN","usernotexist999",,"123456",,,,,"Tên đăng nhập không tồn tại phải đăng nhập thất bại","400","Invalid username or password"
"L-014","LOGIN","hai123",,"wrongpass123",,,,,"Tên đăng nhập tồn tại nhưng mật khẩu không hợp lệ thì đăng nhập thất bại","400","Invalid username or password"
"L-015","LOGIN","user@invalid.com",,"123456",,,,,"Tên đăng nhập dạng email nhưng không tồn tại phải đăng nhập thất bại","400","Invalid username or password"
"L-016","LOGIN","hai!@#",,"123456",,,,,"Tên đăng nhập có ký tự đặc biệt không được đăng nhập","400","Invalid username or password"
"L-017","LOGIN","hai123 ",,"hai123",,,,,"Tên đăng nhập có khoảng trắng đầu/cuối phải bị từ chối","400","Invalid username or password"
"L-018","LOGIN","HAI123",,"hai123",,,,,"Kiểm tra đăng nhập có phân biệt chữ hoa chữ thường ở tên đăng nhập","400","Invalid username or password"
"L-019","LOGIN","hai 123",,"123456",,,,,"Tên đăng nhập có khoảng trắng ở giữa phải bị từ chối","400","Invalid username or password"
