"testId","testType","username","email","password","fullName","oldPassword","newPassword","confirmPassword","ExpectedResult","expectedStatus","expectedMessage"
"R-001","REGISTER","r001_user","r001_success@gmail.com","Password@1","New User","","","","Đăng ký hợp lệ bằng mật khẩu mạnh thành công và trả về token","200","token"
"R-002","REGISTER","","r002_empty_user@gmail.com","Password@1","User Name","","","","Tên đăng nhập rỗng phải bị từ chối","400","username"
"R-003","REGISTER","r003_user","","Password@1","User Name","","","","Email rỗng phải bị từ chối","400","email"
"R-004","REGISTER","r004_user","r004_empty_pass@gmail.com","","User Name","","","","Mật khẩu rỗng phải bị từ chối","400","password"
"R-005","REGISTER","","","","","","","","Tất cả trường bắt buộc khi đăng ký đều rỗng phải bị từ chối","400","validation"
"R-006","REGISTER","ab","r006_short_user@gmail.com","Password@1","User","","","","Tên đăng nhập dài 2 ký tự phải bị từ chối","400","3-50"
"R-007","REGISTER","u07","r007_abc@gmail.com","Password@1","ABC User","","","","Tên đăng nhập dài 3 ký tự phải được chấp nhận","200","token"
"R-008","REGISTER","abcdefghijklmnopqrstuvwxyz0123456789012345678901234","r008_long_user@gmail.com","Password@1","Long","","","","Tên đăng nhập dài 51 ký tự phải bị từ chối","400","3-50"
"R-009","REGISTER","abcdefghijklmnopqrstuvwxyz012345678901234567890123","r009_max_user@gmail.com","Password@1","Max User","","","","Tên đăng nhập dài 50 ký tự phải được chấp nhận","200","token"
"R-010","REGISTER","r010_user","invalidgmail","Password@1","User","","","","Email không có ký tự @ phải bị từ chối","400","email"
"R-011","REGISTER","r011_user","newuser.gmail.com","Password@1","User","","","","Email không có ký tự phân tách @ phải bị từ chối","400","email"
"R-012","REGISTER","hai123","r012_taken_user@gmail.com","Password@1","Another User","","","","Tên đăng nhập đã tồn tại phải bị từ chối","400","Username is already taken"
"R-013","REGISTER","r013_user","r001_success@gmail.com","Password@1","User","","","","Email đã tồn tại phải bị từ chối","400","email"
"R-014","REGISTER","r014_user","r014_short_pass@gmail.com","Pass@1","User","","","","Mật khẩu ngắn hơn 8 ký tự phải bị từ chối","400","password"
"R-015","REGISTER","r015_user","r015_valid@gmail.com","Pass@123","User","","","","Mật khẩu dài 8 ký tự và đủ nhóm ký tự bắt buộc phải được chấp nhận","200","token"
"R-016","REGISTER","r016_user","r016_long_pass@gmail.com","Password@12345678901234567890123456789012345678901234567890123456789012345","User","","","","Mật khẩu dài hơn 64 ký tự phải bị từ chối","400","password"
"R-017","REGISTER","r017_user","r017_whitespace@gmail.com ","Password@1","User","","","","Email có khoảng trắng đầu/cuối phải bị từ chối","400","email"
"R-018","REGISTER","r018_trim_user ","r018_trim_user@gmail.com","Password@1","User","","","","Tên đăng nhập có khoảng trắng đầu/cuối phải bị từ chối","400","username"
"R-019","REGISTER","r019_spec_user@123","r019_spec_user@gmail.com","Password@1","User","","","","Tên đăng nhập có ký tự đặc biệt phải bị từ chối nếu BE kiểm tra ký tự tên đăng nhập","400","username"
"R-020","REGISTER","r020_weak_no_upper","r020_weak_no_upper@gmail.com","password@1","Weak Password User","","","","Mật khẩu thiếu chữ hoa phải bị từ chối","400","password"
"R-021","REGISTER","r021_weak_no_lower","r021_weak_no_lower@gmail.com","PASSWORD@1","Weak Password User","","","","Mật khẩu thiếu chữ thường phải bị từ chối","400","password"
"R-022","REGISTER","r022_weak_no_digit","r022_weak_no_digit@gmail.com","Password@","Weak Password User","","","","Mật khẩu thiếu chữ số phải bị từ chối","400","password"
"R-023","REGISTER","r023_weak_no_special","r023_weak_no_special@gmail.com","Password1","Weak Password User","","","","Mật khẩu thiếu ký tự đặc biệt phải bị từ chối","400","password"
"R-024","REGISTER","r024_empty_fullname","r024_empty_fullname@gmail.com","Password@1","","","","","Họ và tên rỗng phải bị từ chối theo quy tắc chất lượng Auth","400","fullName"
"R-025","REGISTER","r025_blank_fullname","r025_blank_fullname@gmail.com","Password@1","   ","","","","Họ và tên chỉ gồm khoảng trắng phải bị từ chối","400","fullName"
"R-026","REGISTER","r026_long_email","aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa@example.com","Password@1","Long Email User","","","","Email dài hơn 254 ký tự phải bị từ chối","400","email"
