"testId","testType","username","email","password","fullName","oldPassword","newPassword","confirmPassword","ExpectedResult","expectedStatus","expectedMessage"
"L-001","LOGIN","hai123","","hai123","","","","","Valid seed account login succeeds. Required seed: hai123/hai123","200","token"
"L-002","LOGIN","","","","","","","","Both username and password are empty","400","validation"
"L-003","LOGIN","hai123","","","","","","","Username provided but password is empty","400","password"
"L-004","LOGIN","","","hai123","","","","","Password provided but username is empty","400","username"
"L-005","LOGIN","a","","123456","","","","","Username length below normal range cannot authenticate","400","Invalid username or password"
"L-006","LOGIN","ab","","123456","","","","","Username length 2 cannot authenticate when user does not exist","400","Invalid username or password"
"L-007","LOGIN","abc","","123456","","","","","Username length 3 but unknown user cannot authenticate","400","Invalid username or password"
"L-008","LOGIN","abcdefghijklmnopqrstuvwxyz01234567890123456789012","","hai123","","","","","Username longer than 50 cannot authenticate","400","Invalid username or password"
"L-009","LOGIN","abcdefghijklmnopqrstuvwxyz0123456789012345678901","","hai123","","","","","Long unknown username cannot authenticate","400","Invalid username or password"
"L-010","LOGIN","hai123","","12345","","","","","Existing username with password shorter than valid seed fails","400","Invalid username or password"
"L-011","LOGIN","hai123","","123456","","","","","Existing username with wrong password fails","400","Invalid username or password"
"L-012","LOGIN","hai123","","12345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901","","","","","Existing username with very long wrong password fails","400","Invalid username or password"
"L-013","LOGIN","usernotexist999","","123456","","","","","Non-existing username fails","400","Invalid username or password"
"L-014","LOGIN","hai123","","wrongpass123","","","","","Existing username with invalid password fails","400","Invalid username or password"
"L-015","LOGIN","user@invalid.com","","123456","","","","","Unknown email-like username fails","400","Invalid username or password"
"L-016","LOGIN","hai!@#","","123456","","","","","Special-character username cannot authenticate","400","Invalid username or password"
"L-017","LOGIN","hai123 ","","hai123","","","","","Username with leading/trailing spaces is rejected","400","Invalid username or password"
"L-018","LOGIN","HAI123","","hai123","","","","","Username case sensitivity check","400","Invalid username or password"
