tc_id,description,recipientName,phone,detailedAddress,isDefault,expectedStatus,expectedMessage
TC_ADDRESS_01,Valid address with default true,Nguyen Van A,0901234567,123 Nguyen Hue Street,true,200,đã thêm địa chỉ
TC_ADDRESS_02,Boundary recipientName min length 1 character,A,0901234567,123 Nguyen Hue Street,false,200,đã thêm địa chỉ
TC_ADDRESS_03,Boundary recipientName empty,,0901234567,123 Nguyen Hue Street,false,400,Tên người nhận không được để trống
TC_ADDRESS_04,Boundary recipientName too long,Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An,0901234567,123 Nguyen Hue Street,false,400,Tên người nhận không được vượt quá 50 ký tự
TC_ADDRESS_05,Boundary phone below minimum digits,Nguyen Van A,090123456,123 Nguyen Hue Street,false,400,Số điện thoại phải đúng 10 số
TC_ADDRESS_06,Boundary phone valid 10 digits,Nguyen Van A,0901234567,123 Nguyen Hue Street,false,200,đã thêm địa chỉ
TC_ADDRESS_07,Boundary phone above maximum digits,Nguyen Van A,09012345678,123 Nguyen Hue Street,false,400,Số điện thoại phải đúng 10 số
TC_ADDRESS_08,Phone contains non-digit characters,Nguyen Van A,09012abc567,123 Nguyen Hue Street,false,400,Số điện thoại không hợp lệ
TC_ADDRESS_09,Boundary detailedAddress empty,Nguyen Van A,0901234567,,false,400,Địa chỉ chi tiết không được để trống
TC_ADDRESS_10,Address text too long,Nguyen Van A,0901234567,123 Nguyen Hue Street Apartment 15 Building B Floor 8 Ward 10 District 1 Ho Chi Minh City Vietnam Long Street For Boundary Value Testing Scenario Example,false,400,Địa chỉ chi tiết không được vượt quá 255 ký tự
TC_ADDRESS_11,Default flag false,Nguyen Van A,0901234567,123 Nguyen Hue Street,false,200,đã thêm địa chỉ
TC_ADDRESS_12,Default flag true,Nguyen Van A,0901234567,123 Nguyen Hue Street,true,200,đã thêm địa chỉ
