tc_id,description,expectedStatus,expectedMessage,fullName,dob,gender
TC_PF_001,Cập nhật Profile thành công với dữ liệu hợp lệ đầy đủ,200,thành công,Nguyen Van A,1995-10-15,MALE
TC_PF_002,BVA - fullName đạt độ dài tối thiểu biên dưới hợp lệ (2 ký tự),200,thành công,An,1990-01-01,MALE
TC_PF_003,BVA - Thử nghiệm số điện thoại hợp lệ đầu số 03 (Xử lý tiền đầu số động),200,thành công,Nguyen Van B,1988-12-12,MALE
TC_PF_004,BVA - fullName rỗng (Độ dài dưới biên tối thiểu),400,không được để trống,,1995-10-15,MALE
TC_PF_005,BVA - fullName quá dài vượt biên trên tối đa (51 ký tự),400,quá dài,Toi la mot nguoi co cai ten rat la dai vuot qua muc quy dinh cho phep cua he thong,1995-10-15,MALE
TC_PF_006,BVA - Định dạng Ngày sinh (dob) không hợp lệ,400,định dạng ngày,Nguyen Van A,15-10-1995,MALE
TC_PF_007,BVA - Số điện thoại trống (Xử lý tiền dynamicPhone rỗng),400,số điện thoại không được trống,Nguyen Van A,1995-10-15,MALE
TC_PF_008,BVA - Số điện thoại quá ngắn (Số điện thoại động ít hơn 10 chữ số),400,không hợp lệ,Nguyen Van A,1995-10-15,MALE
TC_PF_009,BVA - Số điện thoại quá dài (Số điện thoại động nhiều hơn 11 chữ số),400,không hợp lệ,Nguyen Van A,1995-10-15,MALE
TC_PF_010,BVA - Đầu số điện thoại không hợp lệ (Bắt đầu bằng 19),400,không đúng định dạng,Nguyen Van A,1995-10-15,MALE
