tc_id,description,recipientName,phone,detailedAddress,isDefault,expectedStatus,expectedMessage
TC_ADDRESS_01,Valid address with default true,Nguyen Van A,0901234567,123 Nguyen Hue Street,true,200,Address created successfully
TC_ADDRESS_02,Boundary recipientName min length 1 character,A,0901234567,123 Nguyen Hue Street,false,200,Address created successfully
TC_ADDRESS_03,Boundary recipientName empty,,0901234567,123 Nguyen Hue Street,false,400,Recipient name is required
TC_ADDRESS_04,Boundary recipientName too long,Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An Nguyen Van An,0901234567,123 Nguyen Hue Street,false,400,Recipient name exceeds maximum length
TC_ADDRESS_05,Boundary phone below minimum digits,Nguyen Van A,090123456,123 Nguyen Hue Street,false,400,Phone must be 10 digits
TC_ADDRESS_06,Boundary phone valid 10 digits,Nguyen Van A,0901234567,123 Nguyen Hue Street,false,200,Address created successfully
TC_ADDRESS_07,Boundary phone above maximum digits,Nguyen Van A,09012345678,123 Nguyen Hue Street,false,400,Phone must be 10 digits
TC_ADDRESS_08,Phone contains non-digit characters,Nguyen Van A,09012abc567,123 Nguyen Hue Street,false,400,Phone must contain digits only
TC_ADDRESS_09,Boundary detailedAddress empty,Nguyen Van A,0901234567,,false,400,Address is required
TC_ADDRESS_10,Address text too long,Nguyen Van A,0901234567,123 Nguyen Hue Street Apartment 15 Building B Floor 8 Ward 10 District 1 Ho Chi Minh City Vietnam Long Street For Boundary Value Testing Scenario Example,false,400,Address exceeds maximum length
TC_ADDRESS_11,Default flag false,Nguyen Van A,0901234567,123 Nguyen Hue Street,false,200,Address created successfully
TC_ADDRESS_12,Default flag true,Nguyen Van A,0901234567,123 Nguyen Hue Street,true,200,Address created successfully
