testId,testType,testCase,technique,fullName,phone,shippingAddress,address,note,itemsJson,paymentMethod,orderId,setupOrder,omitFields,expectedStatus,expectedSuccess,expectedPaymentStatus,expectedOrderStatus,expectedMessage,ExpectedResult
O-001,ORDER_CREATE,Create order with valid data,EP,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Valid order,"[{""productId"":10,""quantity"":1}]",COD,,false,,200,true,,,orderId,Tạo đơn hàng thành công với dữ liệu hợp lệ
O-002,ORDER_CREATE,Reject empty full name,EP,,0901234567,"123 Đường ABC, TP.HCM",hcm,Empty full name,"[{""productId"":10,""quantity"":1}]",COD,,false,,400,false,,,fullname,Từ chối tạo đơn khi họ tên để trống
O-003,ORDER_CREATE,Reject empty phone,EP,Nguyễn Văn C,,"123 Đường ABC, TP.HCM",hcm,Empty phone,"[{""productId"":10,""quantity"":1}]",COD,,false,,400,false,,,phone,Từ chối tạo đơn khi số điện thoại để trống
O-004,ORDER_CREATE,Phone has 9 digits,BVA,Nguyễn Văn C,090123456,"123 Đường ABC, TP.HCM",hcm,Phone below boundary,"[{""productId"":10,""quantity"":1}]",COD,,false,,400,false,,,phone,Từ chối số điện thoại 9 chữ số
O-005,ORDER_CREATE,Phone has exactly 10 digits,BVA,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Phone valid boundary,"[{""productId"":10,""quantity"":1}]",COD,,false,,200,true,,,orderId,Chấp nhận số điện thoại đúng 10 chữ số
O-006,ORDER_CREATE,Phone has 11 digits,BVA,Nguyễn Văn C,09012345678,"123 Đường ABC, TP.HCM",hcm,Phone above boundary,"[{""productId"":10,""quantity"":1}]",COD,,false,,400,false,,,phone,Từ chối số điện thoại 11 chữ số
O-007,ORDER_CREATE,Reject invalid phone prefix,EP,Nguyễn Văn C,0612345678,"123 Đường ABC, TP.HCM",hcm,Invalid phone prefix,"[{""productId"":10,""quantity"":1}]",COD,,false,,400,false,,,phone,Từ chối đầu số điện thoại không hợp lệ
O-008,ORDER_CREATE,Reject empty shipping address,EP,Nguyễn Văn C,0901234567,,hcm,Empty shipping address,"[{""productId"":10,""quantity"":1}]",COD,,false,,400,false,,,address,Từ chối tạo đơn khi thiếu địa chỉ giao hàng
O-009,ORDER_CREATE,Reject empty address code,EP,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",,Empty address code,"[{""productId"":10,""quantity"":1}]",COD,,false,,400,false,,,address,Từ chối tạo đơn khi thiếu tỉnh hoặc mã địa chỉ
O-010,ORDER_CREATE,Reject empty items array,EP,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Empty items,[],COD,,false,,400,false,,,item,Từ chối tạo đơn khi danh sách sản phẩm rỗng
O-011,ORDER_CREATE,Reject missing items field,EP,Nguyễn Văn C,0901234567,"123 Đường ABC, TP.HCM",hcm,Missing items,"[{""productId"":10,""quantity"":1}]",COD,,false,items,400,false,,,item,Từ chối tạo đơn khi không gửi trường items
